id,date,tlt,ud,pmt,wp,a,p,q,oee,rate,wf,uf,rework,give,line,unit,std,chk,Remark,waste_film_remark,waste_pellet_remark
29101,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,25.11,B,PPC,30,1,,,
29102,2023-01-01,0.5,0,598,0,100,99.67,100,99.67,29.9,0,52,0,25.118,A,PPC,30,1,,,
29103,2023-01-01,15.5,0,9476,0,100,50.95,100,50.95,15.28,1.2,884,0,25.114,C,PP12,30,1,"Bagging  C : 14.00 MI เข้าตรวจสอบไข weight head A  น้ำหนักไม่ตรง 1. ตรวจพบการทำงานของชุด control cut gate ผิดปรกติ ทำการแก้ไข ปรับค่าการทำงานใหม่ 2. พบการทำงานของ discharge ผิดปรกติ เปิด- ปิด ไม่สนิท มีเม็ดไหลรั่วลงมาได้ ครวจสอบ
พบ กระบอกสูบรั่ว ต้องทำการซ่อมใหม่ / รอแก้ไขต่อพรุ่งนี้  Palletizer C : 16.20  MM เข้ามาแก้ไข เปลี่ยน Bearing roller turning bag ที่แตก ให้ใหม่เสร็จแล้ว",,
29104,2023-01-01,4.83,0,7833,0,100,90.1,100,90.1,40.54,0.9,923,0,25.119,A,PP12,45,1,,,
29105,2023-01-01,0.42,0,494,0,100,98.02,100,98.02,29.4,0,48,0,25.115,A,PP3,30,0,,รอยต่อ,
29106,2023-01-01,0.42,0,480,0,100,95.24,100,95.24,28.57,0,46,0,25.115,B,PP3,30,0,,รอยต่อ,
29107,2023-01-01,13.77,0,15080,0,100,91.26,100,91.26,27.38,2.2,1494,0,25.118,C,PPE,30,0,,รอยต่อ,
29108,2023-01-01,13.75,0,15069,0,100,91.33,100,91.33,27.4,1.8,1537,0,25.119,D,PPE,30,0,,รอยต่อ,
29109,2023-01-02,12.17,0,13443,0.01,100,92.05,100,92.05,27.62,1.2,875,0,25.117,C,PPE,30,1,,,
29110,2023-01-02,12.42,0,13399,0,100,89.9,100,89.9,26.97,1.1,1360,0,25.118,C,PP12,30,1,,,
29111,2023-01-02,8.67,5.5,5057,0,36.56,88.63,100,32.4,39.88,0.6,512,0,25.118,A,PP12,45,1,"Palletizer A : 15.30 มอเตอร์ layer feeder เบรคไม่อยู่ถอยหลังชนคาน  การแก้ไข : ออก noti 10777083  oncall ตามคุณสมบัติ ME และแจ้ง plant ให้รับทราบ16.30 คุณสมบัติเข้ามาตรวจสอบแก้ไข ปรับค่า motor,ตัววัดรอบ ใหม่ แต่ยังไม่หาย 20.30 เปลี่ยนชุด control motor ตัวใหม่และ ปรับตั้งค่า แต่ยังไม่หาย Palletizer A : Layer feeder motor หยุดไม่ตรงตำแหน่ง  ออก Noti. 10777102 Oncall ตาม MM ตรวจสอบ Gear motor ชุด Layer feeder  23:00น. ME ถอด motor Layer feeder  เพื่อให้ MM ตรวจสอบ gear00.00 06.00 MM ตรวจสอบ gear พบว่ามีอาการ หลวมคลอน ลิ่มแตก  จึงจะทำการเปลี่ยนใหม่ แต่ถอดชุด gear ออกจากเพลายังไม่ได้เนื่องจากแน่นมากจากกาวที่ผู้ผลิตทาไว้",,
29112,2023-01-02,9.58,0,10280,0,100,89.42,100,89.42,26.83,1.4,790,0,25.116,D,PPE,30,1,,,
29113,2023-01-02,7.75,0,8388,0,100,90.19,100,90.19,27.06,1.4,790,0,25.117,B,PP3,30,1,,,
29114,2023-01-03,9.92,0,11018,0,100,92.56,100,92.56,27.77,1,1062,0,25.114,C,PPE,30,1,,,
29115,2023-01-03,9.17,0,9945,0,100,90.38,100,90.38,27.11,0.5,607,0,25.116,C,PP12,30,1,,,
29116,2023-01-03,6.83,0,7468,0,100,91.12,100,91.12,27.34,0.8,799,0,25.117,D,PPE,30,1,,,
29117,2023-01-03,7.17,0,7697,0,100,89.46,100,89.46,26.84,0.7,766,0,25.116,B,PP3,30,1,,,
29118,2023-01-03,3.75,0.5,5275,0,86.67,90.17,100,78.15,40.58,0.4,530,0,25.115,A,PP12,45,1,Motor of layer feeder เบรคไม่อยู่,,
29119,2023-01-03,3.83,0,4240,0,100,92.25,100,92.25,27.68,0.4,434,0,25.115,A,PP3,30,1,,,
29120,2023-01-02,7.75,0,8440,0,100,90.75,100,90.75,27.23,1.2,875,0,25.115,A,PP3,30,1,,,
29121,2023-01-04,13.67,0,15374,0,100,93.72,100,93.72,28.12,1.4,1289,0,25.114,B,PP3,30,1,,,
29122,2023-01-04,11.42,0,12640,0,100,92.24,100,92.24,27.67,1.3,1260,0,25.116,A,PP3,30,1,,,
29123,2023-01-04,2.97,0,3153,0,100,88.47,100,88.47,26.54,0.5,319,0,25.115,C,PP12,30,1,,,
29124,2023-01-04,7,0,11303,0,100,89.71,100,89.71,40.37,1,1075,0,25.118,A,PP12,45,1,,,
29125,2023-01-04,5,0,5485,0,100,91.42,100,91.42,27.42,0,552,0,25.116,D,PPE,30,1,,,
29126,2023-01-04,14.58,0,16040,0,100,91.68,100,91.68,27.5,1.6,1578,0,25.116,C,PPE,30,1,,,
29127,2023-01-05,14.67,0,15793,0,100,89.71,100,89.71,26.91,1.2,1464,0,25.116,D,PPE,30,1,,,
29128,2023-01-05,3.97,0,6467,0,100,90.5,100,90.5,40.72,0.11,654,0,25.116,A,PP12,45,1,-,"หัวม้วน,ท้ายม้วน",-
29129,2023-01-05,11,0,12356,0,100,93.61,100,93.61,28.08,1.35,1276,0,25.117,B,PP3,30,1,,,
29130,2023-01-05,11,0,12416,0,100,94.06,100,94.06,28.22,1.05,1240,0,25.116,A,PP3,30,1,,,
29131,2023-01-05,5.67,0,6166,0,100,90.62,100,90.62,27.19,0.13,623,0,25.115,C,PP12,30,1,-,"หัวม้วน,ท้ายม้วน",-
29132,2023-01-05,11.92,0,10320,0,100,72.15,100,72.15,21.64,0.8,936,0,25.117,C,PPE,30,1,14.00-17.00 เครื่องจักร Alarm profinesbus ตรวจสอบพบว่า กล่อง Ropex top seal alarmทำการแก้ไข Set กล่อง Ropex ใหม่และทำการ Test Run/18.00-20.30 Sucker ดูดปากถุงไม่ได้ตรวจสอบพบ Prox ไม่อยู่ในตำแหน่งสั้งทำงานทำการแก้ไข ปรับ Prox ใหม่และ Test run,,
29133,2023-01-06,9.5,0,10170,0,100,89.21,100,89.21,26.76,1.4,1012,0,25.114,C,PP12,30,1,,,
29134,2023-01-06,7,0,11155,0,100,88.53,100,88.53,39.84,1.5,1104,0,25.118,A,PP12,45,1,,,
29135,2023-01-06,15.33,0,17323,0,100,94.17,100,94.17,28.25,1.02,1575,0,25.116,C,PPE,30,1,,,
29136,2023-01-06,9.58,0,10869,0,100,94.55,100,94.55,28.36,1,1190,0,25.117,D,PPE,30,1,,,
29137,2023-01-06,12.17,0,14122,0,100,96.7,100,96.7,29.01,1.33,1381,0,25.116,B,PP3,30,1,,,
29138,2023-01-06,12.17,0,14190,0,100,97.17,100,97.17,29.15,1.25,1449,0,25.117,A,PP3,30,1,,,
29139,2023-01-07,12.58,0,13466,0,100,89.2,100,89.2,26.76,1.2,1312,0,25.115,C,PP12,30,1,,,
29140,2023-01-07,9.25,0,10520,0.001,100,94.77,100,94.77,28.43,0.8,1045,0,25.115,C,PPE,30,1,,,
29141,2023-01-07,9.33,0,10485,0.001,100,93.65,100,93.65,28.09,1.4,906,0,25.117,D,PPE,30,1,,,
29142,2023-01-07,8.1,0,12493,0,100,85.69,100,85.69,38.56,1.2,1332,0,25.118,A,PP12,45,1,,,
29143,2023-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,A,PP3,30,0,Bag jumbo,,
29144,2023-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,B,PP3,30,0,Bag jumbo,,
29145,2023-01-08,7.17,0,11251,0,100,87.18,100,87.18,39.23,0.9,1121,0,25.118,A,PP12,45,1,,,
29146,2023-01-08,10.17,0,10855,0,100,88.95,100,88.95,26.68,1,1091,0,25.115,C,PP12,30,1,,,
29147,2023-01-08,12,0,13429,0.01,100,93.26,100,93.26,27.98,1,1242,0,25.118,D,PPE,30,1,,,
29148,2023-01-08,12,0,13480,0,100,93.61,100,93.61,28.08,1,1344,0,25.116,C,PPE,30,1,,,
29149,2023-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,A,PPC,30,0,,,Bag Jumbo
29150,2023-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,B,PPC,30,0,,,Bag Jumbo
29151,2023-01-08,6.67,0,7438,0,100,92.93,100,92.93,27.88,0.7,738,0,25.117,A,PP3,30,0,,,
29152,2023-01-08,6.58,0,7400,0,100,93.72,100,93.72,28.12,0.9,768,0,25.117,B,PP3,30,0,,,
29153,2023-01-09,10.92,4.92,9631,0,54.95,89.18,100,49,40.13,0.8,964,0,25.118,A,PP12,45,1,"17.00 Holding tong right side ตำแหน่งส่งถุงไปให้ชุด filling ทำงานอ้าตลอด ไม่ปิด ทำให้เครื่องค้างจังหวะ
23.30  MI เอากระบอกสูบมาประกอบให้OKแล้ว",,
29154,2023-01-09,4.92,0,5404,0,100,91.53,100,91.53,27.46,0.4,502,0,25.114,C,PP12,30,1,,,
29155,2023-01-09,11.58,0,12760,0.001,100,91.82,100,91.82,27.55,1,1280,0,25.115,C,PPE,30,1,,รอยต่อ,
29156,2023-01-09,11.5,0,12735,0.025,100,92.28,99.99,92.27,27.68,1.2,1277,0,25.115,D,PPE,30,1,,รอยต่อ,
29157,2023-01-10,9.25,0,10504,0.005,100,94.63,100,94.63,28.39,1,1020,0,25.118,A,PPC,30,1,,,
29158,2023-01-09,9.42,0,10574,0,100,93.54,100,93.54,28.06,1,1055,0,25.118,A,PPC,30,1,,,
29159,2023-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,B,PPC,30,0,,,รอโปรแกรม
29160,2023-01-09,7.42,0,8160,0,100,91.64,100,91.64,27.49,0.9,805,0,25.118,A,PP3,30,0,,รอยต่อ,
29161,2023-01-09,7.42,0,8151,0,100,91.54,100,91.54,27.46,0.8,804,0,25.117,B,PP3,30,0,,รอยต่อ,
29162,2023-01-10,9.33,0,9903,0,100,88.45,100,88.45,26.54,0.8,988,0,25.116,C,PP12,30,1,,,
29163,2023-01-10,5.58,0,8925,0,100,88.86,100,88.86,39.99,0.6,897,0,25.119,A,PP12,45,1,,,
29164,2023-01-10,11.67,2.5,10215,0.005,78.58,92.83,100,72.95,27.85,0.8,970,0,25.116,C,PPE,30,1,"17.30-20.00  Sucker ดูดปากถุงไม่ได้เนื่องสกรูล็อคก้านเพลาของแขนชุด Sucker คลายออก
ทำให้ระยะของปาก Suckerห่างกันมากแก้ไขปรับตั้งระยะ Sucker ใหม่",รอยต่อ,
29165,2023-01-10,7.75,0,8590,0,100,92.37,100,92.37,27.71,0.8,926,0,25.115,D,PPE,30,1,,รอยต่อ,
29166,2023-01-10,5.83,0,6360,0,100,90.91,100,90.91,27.27,0.9,614,0,25.117,A,PP3,30,0,,รอยต่อ,
29167,2023-01-10,5.83,0,6383,0,100,91.24,100,91.24,27.37,0.7,680,0,25.117,B,PP3,30,0,,รอยต่อ,
29168,2023-01-11,8.92,0,14361,0,100,89.44,100,89.44,40.25,1.3,1416,0,25.117,A,PP12,45,1,,,
29169,2023-01-11,10.67,0,11361,0,100,88.73,100,88.73,26.62,1.3,1133,0,25.114,C,PP12,30,1,,,
29170,2023-01-11,5.58,0,6045,0,100,90.28,100,90.28,27.08,0.5,589,0,25.118,B,PPC,30,1,,,
29171,2023-01-11,7.5,0,8349,0,100,92.77,100,92.77,27.83,1,830,0,25.118,A,PPC,30,1,,,
29172,2023-01-11,7.33,0,8080,0,100,91.86,100,91.86,27.56,1,865,0,25.116,B,PP3,30,1,,,
29173,2023-01-11,7.42,0,8040,0,100,90.3,100,90.3,27.09,1.1,727,0,25.116,A,PP3,30,1,,,
29174,2023-01-11,5,0,5600,0,100,93.33,100,93.33,28,0.4,534,0,25.115,C,PPE,30,1,,,
29175,2023-01-11,5,0,5600,0,100,93.33,100,93.33,28,0.4,534,0,25.115,D,PPE,30,1,,,
29176,2023-01-12,6.75,0,10741,0,100,88.4,100,88.4,39.78,1.1,1108,0,25.118,A,PP12,45,1,,,
29177,2023-01-12,9.27,0,9373,0,100,84.26,100,84.26,25.28,0.9,931,0,25.115,C,PP12,30,1,,,
29178,2023-01-12,10.58,0,11888,0.003,100,93.64,100,93.64,28.09,1.8,1151,0,25.118,B,PPC,30,1,,,
29179,2023-01-13,13.17,0,14534,0,100,91.96,100,91.96,27.59,1.8,1402,0,25.12,B,PPC,30,1,,,
29180,2023-01-12,6.5,0,6977,0,100,89.45,100,89.45,26.83,0.9,729,0,25.115,B,PP3,30,1,,,
29181,2023-01-12,11.5,0.5,12450,0,95.65,94.32,100,90.22,28.3,0,1232,0,25.115,D,PPE,30,1,18.30-19.00 ลวด Seal ลง Ground ทำให้ Arram Temp Jump แก้ไขเปลี่ยน Seal Bar Top Seal ใหม่ / Bag Next,,
29182,2023-01-12,9.25,0,10520,0,100,94.77,100,94.77,28.43,1.2,1022,0,25.116,C,PPE,30,1,,,
29183,2023-01-12,6.42,0,7000,0,100,90.86,100,90.86,27.26,1.1,646,0,25.116,A,PP3,30,1,,,
29184,2023-01-13,16.5,0,17988,0,100,90.85,100,90.85,27.25,1.6,1769,0,25.115,D,PPE,30,1,,,
29185,2023-01-13,8.58,0,9205,0,100,89.4,100,89.4,26.82,0.7,878,0,25.115,C,PP12,30,1,,,
30171,2023-01-13,9.08,0,14490,0,100,88.66,100,88.66,39.9,1.3,1457,0,25.118,A,PP12,45,1,,,
30172,2023-01-13,16.5,0,18028,0,100,91.05,100,91.05,27.32,1.4,1768,0,25.117,C,PPE,30,1,,,
30173,2023-01-13,4.67,0,5160,0,100,92.08,100,92.08,27.62,0.7,477,0,25.117,A,PP3,30,1,,,
30174,2023-01-13,4.67,0,5176,0,100,92.36,100,92.36,27.71,0.5,461,0,25.116,B,PP3,30,1,,,
30175,2023-01-14,11.77,0,12442,0,100,88.09,100,88.09,26.43,1.2,1173,0,25.115,C,PP12,30,1,,,
30176,2023-01-14,5.42,0,6164,0.015,100,94.77,99.99,94.76,28.43,0.8,440,0,25.119,B,PPC,30,1,,,
30177,2023-01-14,9.17,0,10520,0,100,95.6,100,95.6,28.68,1.2,1033,0,25.116,B,PP3,30,1,,,
30178,2023-01-14,9.25,0,10526,0,100,94.83,100,94.83,28.45,1,1055,0,25.117,A,PP3,30,1,,,
30179,2023-01-14,8.58,0,13655,0,100,88.42,100,88.42,39.79,1.5,1399,0,25.118,A,PP12,45,1,,,
30180,2023-01-14,8.97,0,10280,0,100,95.5,100,95.5,28.65,1,1049,0,25.116,C,PPE,30,1,,,
30181,2023-01-14,9,0,10209,0,100,94.53,100,94.53,28.36,0.8,1019,0,25.117,D,PPE,30,1,,,
30182,2023-01-15,7.98,0,12670,0,100,88.21,100,88.21,39.69,1,1262,0,25.118,A,PP12,45,1,,,
30183,2023-01-15,6.87,0,7305,0,100,88.61,100,88.61,26.58,0.7,718,0,25.116,C,PP12,30,1,,,
30184,2023-01-15,10.75,0,12192,0,100,94.51,100,94.51,28.35,1.4,1147,0,25.119,B,PPC,30,1,,,
30185,2023-01-15,4.33,0,4800,0,100,92.38,100,92.38,27.71,0.4,470,0,25.115,A,PP3,30,0,,,
30186,2023-01-15,4.33,0,4733,0,100,91.09,100,91.09,27.33,0.4,455,0,25.116,B,PP3,30,0,,,
30187,2023-01-15,10.92,0,12200,0.002,100,93.1,100,93.1,27.93,1,1027,0,25.116,C,PPE,30,0,,,
30188,2023-01-15,10.92,0,11997,0.003,100,91.55,100,91.55,27.47,1,1190,0,25.116,D,PPE,30,0,,,
30189,2023-01-16,11.42,0,12560,0,100,91.65,100,91.65,27.5,1,1169,0,25.113,C,PPE,30,1,,,
30190,2023-01-16,12.33,0.83,12015,0,93.27,87.07,100,81.21,26.12,0.9,1117,0,25.118,B,PPC,30,1,"Stretch hood ทำงานค้างจึงตรวจสอบหาสาเหตุพบว่า Proximity Switch Hoist D-600 
ห่างจาก Plate มากจึงไม่ทำงาน แก้ไขโดยปรับระยะ Proximity Switch ใหม่",,
30191,2023-01-16,7.87,0,8397,0,100,88.91,100,88.91,26.67,0.7,849,0,25.114,C,PP12,30,1,,,
30192,2023-01-16,3.58,0,5772,0,100,89.57,100,89.57,40.31,0.4,583,0,25.119,A,PP12,45,1,,,
30193,2023-01-16,11.33,0,12550,0,100,92.31,100,92.31,27.69,1,1049,0,25.117,D,PPE,30,1,,,
30194,2023-01-16,10.08,0,10800,0,100,89.29,100,89.29,26.79,1.6,1030,0,25.117,A,PP3,30,1,,,
30195,2023-01-16,10.17,2.25,8592,0.1,77.88,90.4,99.95,70.37,27.12,1.5,914,0,25.115,B,PP3,30,1,"01.30-03.45 Bolt ล๊อก pin ชุด Clamp จับถุง filling ฝั่ง O/S หักคา ทำให้ Clamp จับถุง
ไม่อยู่และปากเปิด / ต้องทำการถอดชุด fillingมาสกัด bolt ที่หักคาใน pin ออก 
และทำการใส่ bolt spare แทนตัวเก่า / ปรับแรงดันลมให้สัมพันธ์กันทั้ง 2 ฝั่ง",,
30196,2023-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,A,PPC,30,0,,,
30197,2023-01-17,9.17,0,10200,0,100,92.69,100,92.69,27.81,0.6,929,0,25.118,C,PPE,30,1,,รอยต่อ,
30198,2023-01-16,4.5,0,4840,0,100,89.63,100,89.63,26.89,0.4,485,0.1,25.12,A,HDPE,30,0,,,
30199,2023-01-17,10.17,0,11589,0,100,94.96,100,94.96,28.49,1.6,1113,0,25.118,B,PPC,30,1,,,
30200,2023-01-17,9,0,9541,0,100,88.34,100,88.34,26.5,0.7,931,0,25.114,C,PP12,30,1,,,
30201,2023-01-17,3.52,0,5613,0,100,88.59,100,88.59,39.87,0.5,573,0,25.119,A,PP12,45,1,,,
30202,2023-01-18,6.05,0,6285,0,100,86.57,100,86.57,25.97,0.75,594,0,25.114,C,PP12,30,1,,,
30203,2023-01-17,4.42,0,4960,0,100,93.51,100,93.51,28.05,0.7,504,0,25.116,A,PP3,30,1,,รอยต่อ,
30204,2023-01-17,4.23,0,4812,0,100,94.8,100,94.8,28.44,0.3,462,0,25.116,B,PP3,30,1,,รอยต่อ,
30205,2023-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,A,PPC,30,0,,,
30207,2023-01-17,9.17,0,10174,0,100,92.46,100,92.46,27.74,1,962,0,25.116,D,PPE,30,0,,รอยต่อ,
30208,2023-01-18,4.08,0,6649,0,100,90.54,100,90.54,40.74,0.6,669,0,25.116,A,PP12,45,1,,,
30209,2023-01-18,12.92,0,14472,0,100,93.34,100,93.34,28,0.8,1390,0,25.115,D,PPE,30,1,,รอยต่อ,
30210,2023-01-17,12.83,0,14054,0.1,100,91.28,99.97,91.25,27.39,1.5,1377,0.75,25.115,A,HDPE,30,0,,,
30211,2023-01-18,13.08,0,14458,0,100,92.11,100,92.11,27.63,1.5,1333,0,25.119,B,PPC,30,1,,,
30212,2023-01-18,13,0,14480,0,100,92.82,100,92.82,27.85,0.6,1427,0,25.114,C,PPE,30,1,,รอยต่อ,
30213,2023-01-18,6.42,0.67,6308,0,89.56,91.42,100,81.88,27.43,0.4,622,0,25.115,B,PP3,30,1,"07.00-07.40  Bottom seal ไม่ทำงาน ตรวจสอบพบลวด Seal ขาด
แก้ไขโดยหา Spare มาเปลี่ยน และ Calibrate ใหม่ ใช้ได้ปกติ",รอยต่อ,
30214,2023-01-18,6.42,0,7040,0,100,91.38,100,91.38,27.41,0.8,767,0,25.116,A,PP3,30,0,,รอยต่อ,
30215,2023-01-19,6.17,0,7049,0.05,100,95.21,99.97,95.18,28.56,1,667,0,25.119,B,PPC,30,1,,,
30216,2023-01-19,13.42,1.5,11841,0,88.82,82.78,100,73.53,24.83,1.15,1162,0,25.115,C,PP12,30,1,โซ่ชุด Turning bagขาด,,
30217,2023-01-19,3.08,0,5011,0,100,90.39,100,90.39,40.67,0.5,514,0,25.119,A,PP12,45,1,,,
30218,2023-01-19,7.75,0.42,8648,0,94.58,98.32,100,92.99,29.5,0.8,856,0,25.115,B,PP3,30,1,09.05-09.30  Fault Photoc. Push-off too long ตรวจพบ Phocell ตัวก่อน Layer feeder ไฟไม่เข้า09.30-11.00  MI ตรวจสอบและ ไล่ระบบสายสัญญาณ และเข้าขั้วสายในรางให้ใหม่ (Plan),,
30219,2023-01-19,8,0,8880,0,100,92.5,100,92.5,27.75,0.6,858,0,25.117,C,PPE,30,1,,,
30220,2023-01-19,8,0,8956,0,100,93.29,100,93.29,27.99,0.6,842,0,25.116,D,PPE,30,1,,,
30221,2023-01-19,6.42,0.42,6880,0,93.46,95.56,100,89.31,28.67,0.9,712,0,25.115,A,PP3,30,1,09.05-09.30  Fault Photoc. Push-off too long ตรวจพบ Phocell ตัวก่อน Layer feeder ไฟไม่เข้า 09.30-11.00  MI ตรวจสอบและ ไล่ระบบสายสัญญาณ และเข้าขั้วสายในรางให้ใหม่ (Plan),,
30222,2023-01-20,12,0,12649,0,100,87.84,100,87.84,26.35,1.55,1154,0,25.115,C,PP12,30,1,,,
30223,2023-01-20,16.58,4,13080,0,75.87,86.65,100,65.74,25.99,1.6,1252,0,25.118,C,PPE,30,1,23.00-02.00 Sucker ดูดปากถุงไม่ได้สาเหตุพบว่าท่อสาย Vaccuum แตกแก้ไขเปลี่ยนใหม่และปรับระยะห่างของชุด Sucker ใหม่ 03.00-04.00 ขาสลักยึดไมก้าให้กับแท่ง Seal bar ของชุด Top seal ด้านขวาหลุดหายแก้ไขเอา Seal bar spareเปลี่ยนใส่แทน,,
30224,2023-01-20,10.08,0,10600,0,100,87.63,100,87.63,26.29,1.2,1028,0,25.117,D,PPE,30,1,,,
30225,2023-01-20,8.75,0,9808,0,100,93.41,100,93.41,28.02,0,981,0,25.115,B,PP3,30,1,,,
30226,2023-01-20,10.42,0,11452,0.025,100,91.59,99.99,91.58,27.48,1,1090,0,25.119,B,PPC,30,1,,,
30227,2023-01-20,1.08,0,1200,0,100,92.59,100,92.59,27.78,0,100,0,25.119,A,PPC,30,1,,,
30228,2023-01-20,4.75,0,7699,0,100,90.05,100,90.05,40.52,0.4,745,0,25.119,A,PP12,45,1,,,
30229,2023-01-20,8.75,0,9800,0,100,93.33,100,93.33,28,1.2,976,0,25.115,A,PP3,30,1,,,
30230,2023-01-21,10.92,0,12299,0,100,93.86,100,93.86,28.16,1.3,1266,0,25.115,B,PP3,30,1,,,
30231,2023-01-21,11.08,0,12497,0,100,93.99,100,93.99,28.2,1.3,1225,0,25.119,A,PPC,30,1,,,
30232,2023-01-21,8.37,0,8797,0,100,87.58,100,87.58,26.28,0.95,849,0,25.114,C,PP12,30,1,,,
30233,2023-01-21,10.67,0,12000,0,100,93.72,100,93.72,28.12,0.8,1177,0,25.117,C,PPE,30,1,,,
30234,2023-01-21,10.75,0,12049,0,100,93.4,100,93.4,28.02,0.6,1097,0,25.117,D,PPE,30,1,,,
30235,2023-01-21,0.9,0,1480,0,100,91.36,100,91.36,41.11,0.15,157,0,25.118,A,PP12,45,1,,,
30236,2023-01-21,11,0,12128,0,100,91.88,100,91.88,27.56,1.95,1164,0,25.115,A,PP3,30,1,,,
30237,2023-01-22,7.67,0,8669,0,100,94.19,100,94.19,28.26,1.4,866,0,25.116,A,PP3,30,1,,,
30238,2023-01-22,7.67,0,8648,0,100,93.96,100,93.96,28.19,1.4,866,0,25.116,B,PP3,30,1,,,
30239,2023-01-22,5.92,0,9396,0,100,88.18,100,88.18,39.68,1.3,961,0,25.118,A,PP12,45,1,,,
30240,2023-01-22,11.25,0,12662,0,100,93.79,100,93.79,28.14,1.5,1245,0,25.118,A,PPC,30,1,,,
30241,2023-01-22,11,0,11683,0,100,88.51,100,88.51,26.55,1.1,1160,0,25.114,C,PP12,30,1,,,
30242,2023-01-22,12.5,0,14016,0,100,93.44,100,93.44,28.03,1.5,1419,0,25.116,C,PPE,30,1,,,
30243,2023-01-22,12.67,0,14042,0,100,92.36,100,92.36,27.71,1.4,1313,0,25.116,D,PPE,30,1,,,
30244,2023-01-23,3.92,0,4280,0,100,90.99,100,90.99,27.3,0.2,425,0,25.119,A,PPC,30,1,,,
30245,2023-01-23,5,0,5348,0,100,89.13,100,89.13,26.74,0.5,481,0,25.116,C,PP12,30,1,,,
30246,2023-01-23,6.92,0,7760,0,100,93.45,100,93.45,28.03,0.6,701,0,25.116,C,PPE,30,1,,,
30247,2023-01-23,6.25,0,7104,0,100,94.72,100,94.72,28.42,0.8,710,0,25.116,B,PP3,30,1,,,
30248,2023-01-23,3.67,0,5872,0,100,88.89,100,88.89,40,0.5,578,0,25.119,A,PP12,45,1,,,
30249,2023-01-23,8.67,0,9765,0,100,93.86,100,93.86,28.16,0.6,988,0,25.116,D,PPE,30,1,,,
30250,2023-01-23,6.25,0.33,6840,0.01,94.72,96.28,99.99,91.19,28.89,0.8,681,0,25.115,A,PP3,30,0,01.00-01.20  Bolt ยึด Roller ชุดดึง Film ขาดคารู  Feed film ไม่ได้,,
30251,2023-01-24,6.6,0,10384,0,100,87.41,100,87.41,39.33,1.5,969,0,25.119,A,PP12,45,1,,,
30252,2023-01-24,7,0,8384,0,100,99.81,100,99.81,29.94,0.9,786,0,25.119,A,PPC,30,1,,,
30253,2023-01-24,13.07,0,14153,0,100,90.24,100,90.24,27.07,1.2,1310,0,25.116,C,PPE,30,1,,,
30254,2023-01-24,7.75,0,8249,0,100,88.7,100,88.7,26.61,1.15,811,0,25.115,C,PP12,30,1,,,
30255,2023-01-24,13.08,0,14138,0,100,90.07,100,90.07,27.02,1.2,1419,0,25.116,D,PPE,30,1,,,
30256,2023-01-24,12.83,0,14340,0,100,93.14,100,93.14,27.94,1.6,1430,0,25.116,A,PP3,30,1,,,
30257,2023-01-24,12.33,0,13465,0,100,91,100,91,27.3,1.3,1335,0,25.116,B,PP3,30,1,,,
30258,2023-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,B,PPC,30,0,รอโปรแกรม,,
30259,2023-01-25,6.5,0,10203,0,100,87.21,100,87.21,39.24,0.7,972,0,25.119,A,PP12,45,1,,,
30260,2023-01-25,9.5,0,10169,0,100,89.2,100,89.2,26.76,0.7,990,0,25.115,C,PP12,30,1,,,
30261,2023-01-25,14.92,0,16706,0,100,93.31,100,93.31,27.99,1.8,1651,0,25.118,A,PPC,30,1,,,
30262,2023-01-25,11.83,0,13000,0,100,91.58,100,91.58,27.47,1.2,1254,0,25.117,D,PPE,30,1,,รอยต่อ,
30263,2023-01-26,6.33,0,10193,0,100,89.46,100,89.46,40.26,1.05,1006,0,25.118,A,PP12,45,1,,,
30264,2023-01-26,11.5,0.17,12820,0.04,98.52,94.29,99.99,92.89,28.29,0.9,1239,0.1,25.119,A,PPC,30,1,,,ท่อ Vacuum ขาด / แตก
30265,2023-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,A,PP3,30,0,Bag jumbo,,
30266,2023-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,B,PP3,30,0,Bag jumbo,,
30267,2023-01-25,11.92,0,13000,0,100,90.88,100,90.88,27.27,1.1,1217,0,25.117,C,PPE,30,0,,รอยต่อ,
30268,2023-01-26,10.33,0,10817,0,100,87.26,100,87.26,26.18,1.5,1064,0,25.115,C,PP12,30,1,,,
30269,2023-01-26,13.25,0,14849,0.02,100,93.39,99.99,93.38,28.02,4.9,1384,0.75,25.118,A,HDPE,30,0,,,ซีลปากถุงไม่อยู่
30270,2023-01-27,3.67,0,3904,0,100,88.65,100,88.65,26.59,2.97,419,0,25.115,C,PP12,30,1,,,
30271,2023-01-26,0.45,0,480,0,100,88.89,100,88.89,26.67,0.2,60,0,25.114,A,PP3,30,0,,รอยต่อ,
